"Number","Building","Date","Team","Latitude","Longitude","Pictures","Diagram","Priority Index  [%]","Number of  Floors","Roof  Type","First Floor Area  [ft²]","Total Floor Area  [ft²]","Column Area  [ft²]","Ace  [ft²]","Concrete Wall  Area N-S [ft²]","Concrete Wall  Area E-W [ft²]","Masonry Wall  Area N-S [ft²]","Masonry Wall  Area E-W [ft²]","Effective  Wall Area","Wall Index  [%]","Column Index  [%]","Priority Index  [%]","Reinforced  Concrete Damage","Masonry Wall  Damage","Photographer","Permenant  Drift","Captive  Columns","Notes",
"143","D006","26-Jun","D","18° 30' 38.8"" N","72° 17' 17.5"" W","https://nees.org/site/collections/haiti/mainpics/D006.JPG","https://nees.org/site/collections/haiti/Diagrams/D006-Diagram.pdf","0.22","2","Concrete","3515","7030","31","16","0","0","0","73","0","0","0.22","0.22","Light","Light","N/A","N","N","RC School.",
"144","D007","26-Jun","D","18° 31' 5.1"" N","72° 17' 0.5"" W","https://nees.org/site/collections/haiti/mainpics/D007.JPG","https://nees.org/site/collections/haiti/Diagrams/D007-Diagram.pdf","0.63","2","Concrete","1134","2268","25","12","0","0","19","19","2","0.08","0.55","0.63","Moderate","Severe","N/A","N","N","RC School - Infill walls falling out, frame in decent shape.",
"145","D008","28-Jun","D","18° 30' 46.1"" N","72° 38' 3.7"" W","","","0.22","2","Concrete","780","1618","2","1","0","0","27","87","3","0.17","0.05","0.22","Severe","Light","Jeff","N","N","N/A",
"146","D016","26-Jun","D","18° 31' 17.9"" N","72° 17' 0.8"" W","https://nees.org/site/collections/haiti/mainpics/D016.JPG","https://nees.org/site/collections/haiti/Diagrams/D016-Diagram.pdf","0.27","2","Concrete","1472","2944","15","8","0","0","4","30","0","0.01","0.25","0.27","Light","Severe","Olaf","N","N","RC Home.",
"147","D020","26-Jun","D","18° 32' 56.6"" N","72° 18' 12.2"" W","","https://nees.org/site/collections/haiti/Diagrams/D020-Diagram.pdf","0.07","2","Concrete","1163","2326","3","2","0","0","0","28","0","0","0.07","0.07","Severe","Severe","Olaf","Y (~0)","Y","RC Home - collapsed.",
"148","D022","27-Jun","D","18° 33' 3.5"" N","72° 18' 30.6"" W","https://nees.org/site/collections/haiti/mainpics/D022.JPG","https://nees.org/site/collections/haiti/Diagrams/D022-Diagram.pdf","0.31","2","Concrete","672","1439","9","5","0","0","0","6","0","0","0.31","0.31","Severe","Severe","David","Y","Y","Home.",
"149","D023","27-Jun","D","18° 33' 12.8"" N","72° 18' 30.3"" W","https://nees.org/site/collections/haiti/mainpics/D023.JPG","https://nees.org/site/collections/haiti/Diagrams/D023-Diagram.pdf","0.22","2","Concrete","1988","3976","15","8","0","0","47","12","1","0.03","0.19","0.22","Light","Severe","David","N","Y","School.",
"150","D024","27-Jun","D","18° 33' 17.8"" N","72° 18' 39.8"" W","https://nees.org/site/collections/haiti/mainpics/D024.JPG","https://nees.org/site/collections/haiti/Diagrams/D024-Diagram.pdf","0.12","2","Concrete","1070","2185","3","2","0","0","12","12","1","0.05","0.07","0.12","Light","Light","David","N","Y","School.",
"151","D030","27-Jun","D","18° 32' 23.6"" N","72° 19' 5.7"" W","https://nees.org/site/collections/haiti/mainpics/D030.JPG","https://nees.org/site/collections/haiti/Diagrams/D030-Diagram.pdf","0.09","1","Concrete","15625","15625","28","14","0","0","0","0","0","0","0.09","0.09","Severe","Severe","David","Y","N","Church roof split. No connection to exterior walls whatsoever.",
"152","D031","27-Jun","D","18° 32' 19"" N","72° 19' 9.4"" W","https://nees.org/site/collections/haiti/mainpics/D031.JPG","https://nees.org/site/collections/haiti/Diagrams/D031-Diagram.pdf","0.48","2","Concrete","1113","2226","22","11","0","0","0","12","0","0","0.48","0.48","Light","Light","David","N","Y","School.",
"153","D035","27-Jun","D","18° 32' 23.5"" N","72° 20' 20.1"" W","https://nees.org/site/collections/haiti/mainpics/D035.JPG","https://nees.org/site/collections/haiti/Diagrams/D035-Diagram.pdf","0.34","2","Corigated Steel","4550","4450","31","15","0","0","0","109","0","0","0.34","0.34","Light","Light","David","N","Y","University(Law).",
"154","D041","27-Jun","D","18° 32' 9.2"" N","72° 19' 53.4"" W","https://nees.org/site/collections/haiti/mainpics/D041.JPG","https://nees.org/site/collections/haiti/Diagrams/D041-Diagram.pdf","0.27","3","Concrete","2261","6841","35","18","0","0","35","7","1","0.01","0.26","0.27","Severe","Severe","David","Y","Y","School-ties #2 @ 4 in. and longitudinal bars were #4.",
"155","D044","28-Jun","D","18° 30' 55.2"" N","72° 38' 2.6"" W","https://nees.org/site/collections/haiti/mainpics/D044.JPG","https://nees.org/site/collections/haiti/Diagrams/D044-Diagram.pdf","0.25","2","Concrete","1449","2956","3","2","0","0","59","102","6","0.2","0.05","0.25","Light","Moderate","Jeff","N","Y","N/A",
"156","D045","28-Jun","D","18° 30' 55.6"" N","72° 38' 6.1"" W","","https://nees.org/site/collections/haiti/Diagrams/D045-Diagram.pdf","0.3","2","Concrete","938","1934","1","1","0","0","52","107","5","0.27","0.03","0.3","Light","Moderate","Jeff","N","N","N/A",
"157","D046","28-Jun","D","18° 30' 46.1"" N","72° 38' 3.7"" W","https://nees.org/site/collections/haiti/mainpics/D046.JPG","https://nees.org/site/collections/haiti/Diagrams/D046-Diagram.pdf","","2","Concrete","0","0","0","0","0","0","0","0","0","0","0","0","Severe","Light","N/A","N","N","N/A",
"158","D047","28-Jun","D","18° 30' 47.2"" N","72° 38' 3.9"" W","https://nees.org/site/collections/haiti/mainpics/D047.JPG","https://nees.org/site/collections/haiti/Diagrams/D047-Diagram.pdf","0.15","2","Concrete","490","980","0","0","0","0","32","16","2","0.15","0","0.15","Severe","Light","Jeff","N","N","N/A",
"159","D048","28-Jun","D","18° 30' 37"" N","72° 37' 54.8"" W","https://nees.org/site/collections/haiti/mainpics/D048.JPG","https://nees.org/site/collections/haiti/Diagrams/D048-Diagram.pdf","0.34","3","Concrete","2673","8077","44","22","0","0","55","135","6","0.07","0.27","0.34","Moderate","Severe","Jeff","N","N","Many repairs, difficult to assess damage accurately.",
"160","D049","28-Jun","D","18° 30' 37.8"" N","72° 37' 53.8"" W","https://nees.org/site/collections/haiti/mainpics/D049.JPG","https://nees.org/site/collections/haiti/Diagrams/D049-Diagram.pdf","0.27","2","Concrete","505","1068","0","0","0","0","35","29","3","0.27","0","0.27","Light","Light","Jeff","N","N","N/A",
"161","D050","28-Jun","D","18° 30' 34.7"" N","72° 37' 52.1"" W","https://nees.org/site/collections/haiti/mainpics/D050.JPG","https://nees.org/site/collections/haiti/Diagrams/D050-Diagram.pdf","0.39","2","Concrete","1188","2434","17","9","0","0","7","9","1","0.03","0.36","0.39","Severe","Severe","Jeff","Y","N","Each column was actually two abutting columns (split was visible).",
"162","D051","28-Jun","D","18° 30' 30.1"" N","72° 37' 52.5"" W","https://nees.org/site/collections/haiti/mainpics/D051.JPG","https://nees.org/site/collections/haiti/Diagrams/D051-Diagram.pdf","0.19","3","Concrete","1364","4150","8","4","0","0","103","37","4","0.09","0.1","0.19","Severe","Severe","Jeff","N","N","Lots of repairs.",
"163","D052","28-Jun","D","18° 30' 47.1"" N","72° 37' 48.5"" W","https://nees.org/site/collections/haiti/mainpics/D052.JPG","https://nees.org/site/collections/haiti/Diagrams/D052-Diagram.pdf","0.19","2","Concrete","950","1958","6","3","0","0","9","50","1","0.05","0.14","0.19","Light","Light","Jeff","N","Y","N/A",
"164","D053","28-Jun","D","18° 30' 45.5"" N","72° 37' 51.5"" W","https://nees.org/site/collections/haiti/mainpics/D053.JPG","https://nees.org/site/collections/haiti/Diagrams/D053-Diagram.pdf","0.06","2","Concrete","1116","2290","0","0","0","0","13","36","1","0.06","0","0.06","Light","Severe","Jeff","N","N","N/A",
"165","D054A","28-Jun","D","18° 30' 31.6"" N","72° 37' 39.6"" W","https://nees.org/site/collections/haiti/mainpics/D054.JPG","https://nees.org/site/collections/haiti/Diagrams/D054A-Diagram.pdf","0.13","2","Concrete","816","1690","2","1","0","0","48","12","1","0.07","0.06","0.13","Severe","Severe","Jeff","N","N","N/A",
"166","D054B","28-Jun","D","18° 30' 31.6"" N","72° 37' 39.6"" W","https://nees.org/site/collections/haiti/mainpics/D054.JPG","https://nees.org/site/collections/haiti/Diagrams/D054B-Diagram.pdf","0.22","2","Concrete","541","1139","0","0","0","0","47","25","3","0.22","0","0.22","Light","Severe","Jeff","N","N","N/A",
"167","D055","29-Jun","D","18° 33' 47.6"" N","72° 17' 44.5"" W","https://nees.org/site/collections/haiti/mainpics/D055.JPG","https://nees.org/site/collections/haiti/Diagrams/D055-Diagram.pdf","0.15","2","Concrete","1452","2904","0","0","0","0","49","43","4","0.15","0","0.15","N/A","Severe","Olaf","N","N","2-story Block house, No real columns visible, maybe some 6"" square cols hidden at the corners.",
"168","D056","29-Jun","D","18° 33' 47.1"" N","72° 17' 44.8"" W","https://nees.org/site/collections/haiti/mainpics/D056.JPG","https://nees.org/site/collections/haiti/Diagrams/D056-Diagram.pdf","0.16","2","Concrete","1144","2288","2","1","0","0","28","48","3","0.12","0.04","0.16","N/A","Moderate","Olaf","N","N","2-story block house.",
"169","D057","29-Jun","D","18° 33' 33.5"" N","72° 17' 49.3"" W","https://nees.org/site/collections/haiti/mainpics/D057.JPG","https://nees.org/site/collections/haiti/Diagrams/D057-Diagram.pdf","0.2","2","Concrete","2012","4024","14","7","0","0","33","6","1","0.02","0.18","0.2","Severe","Severe","Olaf","Y (~0)","N","2-story nice house, large tie spacings in very small columns.",
"170","D058","30-Jun","D","18° 32' 8.9"" N","72° 19' 32.5"" W","https://nees.org/site/collections/haiti/mainpics/D058.JPG","https://nees.org/site/collections/haiti/Diagrams/D058-Diagram.pdf","0.1","2","Concrete","1020","2040","4","2","0","0","0","19","0","0","0.1","0.1","Severe","Severe","David","Y","N","Home.",
"171","D059","30-Jun","D","18° 32' 16.9"" N","72° 19' 35.3"" W","https://nees.org/site/collections/haiti/mainpics/D059.JPG","https://nees.org/site/collections/haiti/Diagrams/D059-Diagram.pdf","0.1","2","Concrete","1319","2638","3","2","0","0","11","31","1","0.04","0.06","0.1","Light","Light","David","N","N","Home. Very thick walls.",
"172","D060","30-Jun","D","18° 32' 19.8"" N","72° 19' 34.4"" W","https://nees.org/site/collections/haiti/mainpics/D060.JPG","https://nees.org/site/collections/haiti/Diagrams/D060-Diagram.pdf","0.34","3","Concrete","874","2622","18","9","0","0","0","0","0","0","0.34","0.34","Severe","Severe","David","Y","Y","Office building. Second story collapsed, which had very small columns. RC frame.",
"173","D061","30-Jun","D","18° 32' 9.7"" N","72° 19' 23.3"" W","https://nees.org/site/collections/haiti/mainpics/D061.JPG","https://nees.org/site/collections/haiti/Diagrams/D061-Diagram.pdf","0.13","8","Concrete","13553","108424","28","14","131","128","0","0","128","0.12","0.01","0.13","Moderate","N/A","David","N","N","Under construction. Heavy column retrofit post EQ. RC structure could be severe.",
"174","D062","30-Jun","D","18° 32' 15.3"" N","72° 19' 23.9"" W","https://nees.org/site/collections/haiti/mainpics/D062.JPG","https://nees.org/site/collections/haiti/Diagrams/D062-Diagram.pdf","1.16","2","Concrete","1056","2112","2","1","24","27","0","0","24","1.12","0.04","1.16","Light","N/A","David","N","N","Home. RC walls.",
"175","D063","30-Jun","D","18° 32' 11.8"" N","72° 19' 29.1"" W","https://nees.org/site/collections/haiti/mainpics/D063.JPG","https://nees.org/site/collections/haiti/Diagrams/D063-Diagram.pdf","0.17","3","Concrete","3007","9021","24","12","0","0","36","46","4","0.04","0.13","0.17","Light","Light","David","N","Y","Hotel.",
"176","D064","30-Jun","D","18° 32' 8.3"" N","72° 19' 29.2"" W","https://nees.org/site/collections/haiti/mainpics/D064.JPG","https://nees.org/site/collections/haiti/Diagrams/D064-Diagram.pdf","0.11","2","Concrete","1572","3144","7","3","0","0","5","0","0","0","0.11","0.11","Severe","Severe","David","Y","Y","Some walls made of stones.  Walls included in calcs are not like that.",
"177","D065","30-Jun","D","18° 31' 51.6"" N","72° 19' 21.2"" W","https://nees.org/site/collections/haiti/mainpics/D065.JPG","https://nees.org/site/collections/haiti/Diagrams/D065-Diagram.pdf","0.1","3","Concrete","822","2757","6","3","0","0","0","0","0","0","0.1","0.1","Severe","Severe","David","Y","Y","1st floor pancaked.  Used values from 2nd floor.",
"178","D066","30-Jun","D","18° 32' 2.3"" N","72° 19' 12"" W","https://nees.org/site/collections/haiti/mainpics/D066.JPG","https://nees.org/site/collections/haiti/Diagrams/D066-Diagram.pdf","0.05","2","Concrete","2142","4284","4","2","0","0","20","0","0","0","0.05","0.05","Severe","Severe","David","Y","Y","Home.",
"179","D067","30-Jun","D","18° 32' 2.7"" N","72° 19' 21.9"" W","https://nees.org/site/collections/haiti/mainpics/D067.JPG","https://nees.org/site/collections/haiti/Diagrams/D067-Diagram.pdf","0.32","2","Concrete","3059","6691","43","21","0","0","80","0","0","0","0.32","0.32","Light","Light","David","N","Y","University building. Third story being built.",
"180","D078","2-Jul","D","18° 32' 42.8"" N","72° 20' 15.3"" W","","https://nees.org/site/collections/haiti/Diagrams/D078-Diagram.pdf","0.27","5","Concrete","10115","50575","264","132","0","0","51","79","5","0.01","0.26","0.27","Light","Light","N/A","N","N","Possible brick facing on larger columns.",
"181","D080","2-Jul","D","18° 31' 56.1"" N","72° 20' 15.3"" W","https://nees.org/site/collections/haiti/mainpics/D080.JPG","https://nees.org/site/collections/haiti/Diagrams/D080-Diagram.pdf","0.23","3","Concrete","1305","3915","18","9","0","0","0","0","0","0","0.23","0.23","Severe","Light","N/A","N","Y","Library, adjacent to another building, Santiago doesn't like this building.",
"182","D076","30-Jun","D","18° 33' 16.7"" N","72° 19' 9.9"" W","","https://nees.org/site/collections/haiti/Diagrams/D076-Diagram.pdf","0.22","5","Concrete","3648","18500","81","41","0","0","59","0","0","0","0.22","0.22","Moderate","Moderate","Jeff","N","Y","Difficult to measure, half story below ground, steel roof estimated as 1/2 floor, possible connection with adjacent building.",
